# This is the list of histogram data!
# Number	cdNum	mark
1205	1	0
1206	2	0
1207	16	0
1208	1	0
1209	100	0
1210	8	0
1211	5	0
1212	83	0
1213	10	0
1214	1	0
1215	1	1
1216	58	0
1217	15	0
1218	38	0
1219	1	0
1220	10	0
1221	31	0
1222	21	0
1223	1	0
1224	1	1
1225	1	0
1226	4	0
1227	41	0
1228	3	0
1229	18	0
1230	5	0
1231	3	0
1232	13	0
1233	10	0
1234	1	0
1235	18	0
1236	2	0
1237	3	0
1238	1	0
1239	5	0
1240	1	1
1241	23	0
1242	6	0
1243	20	0
1244	25	0
1245	6	0
1246	11	0
1247	122	0
1248	113	0
1249	9	0
1250	18	0
1251	17	0
1252	1	0
1253	1	0
1254	29	0
1255	13	0
1256	33	28
1257	1	0
1258	1	1
1259	127	0
1260	7	0
1261	22	0
1262	1	0
1263	13	0
1264	23	0
1265	11	0
1266	7	0
1267	200	0
1268	30	0
1269	8	0
1270	2	0
1271	188	0
1272	12	0
1273	2	0
1274	7	0
1275	48	9
1276	19	7
1277	1	0
1278	30	0
1279	60	0
1280	108	0
1281	9	0
1282	24	24
1283	21	3
1284	1	1
1285	7	0
1286	24	0
1287	1	0
1288	1	0
1289	2	0
1290	5	0
1291	14	0
1292	5	0
1293	6	0
1294	1	0
1295	16	0
1296	1	0
1297	120	0
1298	1	0
1299	5	0
1300	34	0
1301	23	0
1302	1	0
1303	9	0
1304	1	0
1305	1	1
1306	3	0
1307	110	0
1308	21	0
1309	1	0
1310	15	0
1311	24	0
1312	45	0
1313	1	1
1314	1	0
1315	8	0
1316	1	0
1317	9	0
1318	1	0
1319	200	0
1320	1	0
1321	200	197
1322	1	1
1323	24	0
1324	85	0
1325	2	0
1326	21	0
1327	8	0
1328	1	0
1329	22	0
1330	16	0
1331	17	0
1332	58	0
1333	20	0
1334	36	0
1335	6	0
1336	8	0
1337	24	0
1338	97	0
1339	1	0
1340	2	0
1341	1	0
1342	12	0
1343	10	0
1344	8	0
1345	4	0
1346	1	0
1347	9	0
1348	2	0
1349	106	0
1350	4	0
1351	71	0
1352	18	0
1353	39	0
1354	127	0
1355	16	0
1356	27	0
1357	1	0
1358	1	0
1359	1	1
1360	2	0
1361	1	0
1362	21	0
1363	32	0
1364	25	0
1365	9	0
1366	14	0
1367	8	0
1368	117	0
1369	11	0
1370	151	0
1371	6	0
1372	1	0
1373	4	0
1374	1	1
1375	5	0
1376	52	0
1377	10	0
1378	200	0
1379	22	0
1380	6	0
1381	5	0
1382	24	0
1383	18	0
1384	2	0
1385	1	0
1386	16	0
1387	16	0
1388	24	0
1389	143	0
1390	1	0
1391	6	0
1392	29	0
1393	25	0
1394	11	1
1395	23	20
1396	17	15
1397	1	1
1398	21	0
1399	78	0
1400	200	0
1401	1	0
1402	1	0
1403	1	0
1404	5	0
1405	1	0
1406	17	0
1407	22	0
1408	25	0
1409	1	0
1410	5	0
1411	1	0
1412	25	0
1413	21	0
1414	17	0
1415	80	0
1416	1	0
1417	1	0
1418	128	0
1419	1	0
1420	20	0
1421	20	0
1422	1	0
1423	4	0
1424	2	0
1425	106	0
1426	17	0
1427	21	0
1428	4	0
1429	200	0
1430	5	0
1431	6	0
1432	1	0
1433	19	0
1434	7	0
1435	5	0
1436	31	0
1437	64	0
1438	10	0
1439	1	0
1440	22	4
1441	1	0
1442	16	8
1443	5	0
1444	97	0
1445	10	0
1446	22	0
1447	3	0
1448	8	0
1449	1	0
1450	21	0
1451	200	0
1452	32	0
1453	15	0
1454	1	0
1455	9	1
1456	200	200
1457	16	3
1458	5	0
1459	1	0
1460	6	0
1461	132	126
1462	17	10
1463	13	13
1464	6	0
1465	9	0
1466	12	0
1467	30	0
1468	42	0
1469	8	0
1470	8	0
1471	25	0
1472	65	0
1473	22	0
1474	21	0
1475	200	0
1476	35	0
1477	200	200
1478	1	1
1479	3	0
1480	13	0
1481	1	0
1482	24	0
1483	16	0
1484	1	0
1485	46	0
1486	25	0
1487	97	0
1488	3	0
1489	25	0
1490	1	0
1491	12	0
1492	101	0
1493	200	181
1494	8	8
1495	14	0
1496	10	0
1497	5	0
1498	2	0
1499	2	0
1500	23	0
1501	20	0
1502	25	0
1503	4	0
1504	29	0
1505	18	0
1506	10	0
1507	1	0
1508	1	0
1509	32	0
1510	1	0
1511	132	0
1512	1	0
1513	1	0
1514	38	0
1515	82	0
1516	2	0
1517	20	0
1518	132	0
1519	33	0
1520	24	0
1521	12	11
1522	2	2
1523	31	0
1524	16	0
1525	4	0
1526	1	0
1527	29	0
1528	1	0
1529	2	0
1530	26	0
1531	11	0
1532	5	0
1533	5	0
1534	8	0
1535	14	2
1536	6	6
1537	2	2
1538	6	0
1539	4	0
1540	1	0
1541	1	0
1542	19	0
1543	7	0
1544	1	0
1545	10	0
1546	15	0
1547	1	0
1548	1	0
1549	9	0
1550	7	0
1551	7	0
1552	9	0
1553	200	115
1554	13	13
1555	2	2
1556	1	1
1557	131	0
1558	32	0
1559	27	0
1560	10	0
1561	30	0
1562	11	0
1563	2	0
1564	2	0
1565	1	0
1566	1	0
1567	2	0
1568	200	0
1569	27	0
1570	9	0
1571	15	0
1572	16	0
1573	13	0
1574	10	0
1575	1	1
1576	2	2
1577	9	4
1578	8	0
1579	1	1
1580	1	0
1581	1	0
1582	61	0
1583	18	0
1584	123	0
1585	3	0
1586	10	0
1587	1	0
1588	1	0
1589	13	0
1590	200	0
1591	200	200
1592	2	2
1593	200	200
1594	1	1
1595	10	10
1596	1	1
1597	2	0
1598	12	0
1599	200	0
1600	7	0
1601	19	0
1602	16	0
1603	24	0
1604	22	0
1605	4	0
1606	12	0
1607	25	0
1608	1	0
1609	1	0
1610	2	2
1611	8	8
1612	1	1
1613	1	1
